apple	苹果	🍎
banana	香蕉	🍌
orange	橙子	🍊
grape	葡萄	🍇
watermelon	西瓜	🍉
strawberry	草莓	🍓
peach	桃子	🍑
pear	梨	🍐
lemon	柠檬	🍋
cherry	樱桃	🍒
cat	猫	🐱
dog	狗	🐶
pig	猪	🐷
cow	奶牛	🐮
rabbit	兔子	🐰
tiger	老虎	🐯
lion	狮子	🦁
monkey	猴子	🐵
panda	熊猫	🐼
bear	熊	🐻
fish	鱼	🐟
bird	鸟	🐦
duck	鸭子	🦆
chicken	鸡	🐔
horse	马	🐴
sheep	绵羊	🐑
elephant	大象	🐘
snake	蛇	🐍
frog	青蛙	🐸
bee	蜜蜂	🐝
milk	牛奶	🥛
bread	面包	🍞
egg	鸡蛋	🥚
rice	米饭	🍚
cake	蛋糕	🎂
pizza	披萨	🍕
hamburger	汉堡包	🍔
noodles	面条	🍜
ice cream	冰激凌	🍦
cookie	饼干	🍪
juice	果汁	🧃
candy	糖果	🍬
corn	玉米	🌽
tomato	西红柿	🍅
potato	土豆	🥔
carrot	胡萝卜	🥕
pumpkin	南瓜	🎃
mushroom	蘑菇	🍄
pineapple	菠萝	🍍
coconut	椰子	🥥
sun	太阳	☀️
moon	月亮	🌙
star	星星	⭐
cloud	云	☁️
rain	雨	🌧️
snow	雪	❄️
tree	树	🌳
flower	花	🌸
fire	火	🔥
rainbow	彩虹	🌈
car	小汽车	🚗
bus	公共汽车	🚌
train	火车	🚆
plane	飞机	✈️
ship	轮船	🚢
bike	自行车	🚲
taxi	出租车	🚕
truck	卡车	🚚
rocket	火箭	🚀
boat	帆船	⛵
eye	眼睛	👁️
ear	耳朵	👂
nose	鼻子	👃
mouth	嘴巴	👄
hand	手	✋
foot	脚	🦶
baby	婴儿	👶
boy	男孩	👦
girl	女孩	👧
heart	爱心	❤️
book	书	📖
pen	钢笔	🖊️
bag	书包	🎒
clock	闹钟	⏰
phone	手机	📱
computer	电脑	💻
umbrella	雨伞	☂️
key	钥匙	🔑
ball	足球	⚽
gift	礼物	🎁
hat	帽子	🎩
shirt	衬衫	👕
shoes	鞋子	👟
socks	袜子	🧦
dress	连衣裙	👗
house	房子	🏠
bed	床	🛏️
chair	椅子	🪑
door	门	🚪
cup	杯子	☕
butterfly	蝴蝶	🦋
ant	蚂蚁	🐜
spider	蜘蛛	🕷️
turtle	乌龟	🐢
dolphin	海豚	🐬
whale	鲸鱼	🐳
penguin	企鹅	🐧
owl	猫头鹰	🦉
fox	狐狸	🦊
wolf	狼	🐺
sea	大海	🌊
mountain	高山	⛰️
leaf	树叶	🍃
music	音乐	🎵
balloon	气球	🎈
kite	风筝	🪁
robot	机器人	🤖
drum	鼓	🥁
guitar	吉他	🎸
camera	照相机	📷
